,TIME_CONTRAL_A,TIME_CONTRAL_B,STEPS,TERMINATION,GAME_LENGTH,GAME_TYPE
245,300.0,0.0,28,1,95.0,2
246,1200.0,0.0,21,1,358.0,1
247,60.0,2.0,18,0,50.0,3
248,60.0,2.0,42,1,40.0,3
249,300.0,4.0,40,1,284.0,2
250,0.0,1.0,25,0,2.0,3
251,600.0,0.0,19,1,368.0,1
252,60.0,0.0,27,0,47.0,3
253,60.0,0.0,26,0,59.0,3
254,600.0,0.0,36,1,215.0,1
255,900.0,15.0,19,0,148.0,1
256,600.0,7.0,48,1,22.0,1
257,60.0,0.0,36,1,50.0,3
258,180.0,0.0,28,0,110.0,2
259,60.0,0.0,34,0,48.0,3
260,360.0,0.0,34,1,257.0,2
261,300.0,0.0,31,0,224.0,2
262,180.0,0.0,28,1,101.0,2
263,60.0,0.0,23,0,60.0,3
264,1500.0,0.0,34,1,470.0,1
265,600.0,5.0,22,1,22.0,1
266,600.0,0.0,43,0,600.0,1
267,120.0,1.0,28,1,118.0,3
268,60.0,0.0,26,1,28.0,3
269,120.0,0.0,28,1,64.0,3
270,60.0,0.0,29,0,60.0,3
271,300.0,0.0,22,1,105.0,2
272,300.0,3.0,34,0,295.0,2
273,600.0,0.0,24,1,248.0,1
274,300.0,0.0,32,0,298.0,2
275,180.0,0.0,9,0,16.0,2
276,60.0,0.0,31,0,49.0,3
277,900.0,15.0,55,1,546.0,1
278,600.0,3.0,15,1,53.0,1
279,420.0,5.0,59,1,225.0,1
280,120.0,1.0,31,1,100.0,3
281,300.0,3.0,41,1,270.0,2
282,300.0,3.0,38,0,291.0,2
283,180.0,0.0,12,1,67.0,2
284,180.0,3.0,13,1,102.0,2
285,120.0,1.0,26,0,82.0,3
286,1200.0,15.0,57,1,372.0,1
287,300.0,0.0,31,0,285.0,2
288,120.0,1.0,25,1,59.0,3
289,720.0,10.0,11,1,71.0,1
290,300.0,3.0,29,0,181.0,2
291,600.0,0.0,17,1,131.0,1
292,120.0,0.0,22,1,32.0,3
293,300.0,0.0,26,0,231.0,2
294,120.0,0.0,39,0,111.0,3
295,900.0,0.0,36,0,553.0,1
296,336.81176168464305,1.6013525081321691,35,1,0.0,2
297,180.0,0.0,27,1,101.0,2
298,60.0,0.0,18,0,37.0,3
299,60.0,0.0,33,0,56.0,3
300,180.0,0.0,22,1,56.0,2
301,10800.0,0.0,26,1,529.0,1
